Country Name,Country Code,IncomeGroup,Region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021_arima,2022_arima,2023_arima,2024_arima,2025_arima,2021_holt,2022_holt,2023_holt,2024_holt,2025_holt
Afghanistan,AFG,Low income,South Asia,0.17550887952893837,0.17567368510476578,0.17558594009743492,0.17495821042439222,0.17318889804687512,0.17133586101987727,0.16853766359702493,0.16678484028837706,0.16549300838849904,0.16441221804684267,0.164919461166694,0.16659281908654042,0.16843987795900295,0.16805579371505475,0.16968268266539324,0.16779267778423312,0.16744384130662707,0.16772785024558345,0.17021513175254,0.17520166343175628,0.18454603655291724,0.19528037050300906,0.21319422012618797,0.23241530788996068,0.25319739342305375,0.27833237012667744,0.30619162350739965,0.3165157613886287,0.3219144347766844,0.3268370654481086,0.33042486290643563,0.33275038599409285,0.33392899333800014,0.3341056097252019,0.3334426187219872,0.3317502997547362,0.33666143536510273,0.34157257097546934,0.3464837065858359,0.3513948421962024
Angola,AGO,Lower middle income,Sub-Saharan Africa,0.8380675208245112,0.8343798552936637,0.8288149797619887,0.8273453076521743,0.8314607833822251,0.8357976787119489,0.8399022524609651,0.842728261472033,0.8426797547663049,0.8465110013841061,0.8433708659544976,0.852663516342469,0.8536292208385579,0.863426823069403,0.8471104843885527,0.8290135831054305,0.8141697060925238,0.7987194383348641,0.7870918161961397,0.7404337517384533,0.7561280354137159,0.7607582994818439,0.7641744715993748,0.7667915857343219,0.7673624562013553,0.7671342221317503,0.7657282861383147,0.7652023664001568,0.7693408278768844,0.7733843238187944,0.7735582543022348,0.7733597631453918,0.7729845508461978,0.7725245525920124,0.7720234288701695,0.7737770560536789,0.7748149470950406,0.7758528381364028,0.7768907291777646,0.7779286202191268
Albania,ALB,Upper middle income,Europe & Central Asia,0.6649912935251129,0.6645673563757617,0.6537074640441906,0.6491680923658499,0.6413630426713142,0.6339615046260109,0.6402405489904718,0.6294267017367964,0.6238402780781609,0.6226394189981965,0.6228973723384286,0.6270826930238494,0.6312488923099668,0.6366408352098003,0.6429844509722488,0.6526410634416605,0.662156403066866,0.6703863205466044,0.6427940665352598,0.6751251221174818,0.6786099163734086,0.713504521346489,0.6908583648904228,0.6812104235743986,0.6884779999469327,0.6999213845191709,0.7102401028908916,0.7133874289206189,0.7098728380984083,0.7097910267071429,0.7138348755497913,0.717064005384612,0.7197044633803436,0.7218423713875478,0.723551968969744,0.7221035608963392,0.7298147834798855,0.7375260060634318,0.7452372286469782,0.7529484512305245
United Arab Emirates,ARE,High income,Middle East & North Africa,0.20866153232642426,0.21352051529852542,0.21903667549430028,0.2199309230082783,0.22050983300543534,0.2246164180468373,0.22883632961297687,0.2332050714134886,0.23671194147923344,0.23933685863321638,0.24006437248265391,0.24062440588751166,0.24047310383684395,0.23923385428860103,0.23905026198614665,0.24890839530640588,0.2581347873918543,0.26669588486153484,0.27418037582324556,0.27866924172736923,0.28243766707156287,0.2879171638764423,0.2951394618166434,0.3032550451636991,0.3124998592173965,0.31836399422144257,0.31440895190455836,0.3159460736521087,0.31574811046103946,0.31515484130515287,0.3147124895528942,0.3142071436707966,0.31378312696622646,0.31332393587357793,0.31291128380309935,0.3147509833428683,0.3143259704420583,0.3139009575412484,0.3134759446404385,0.31305093173962856
Argentina,ARG,Upper middle income,Latin America & Caribbean,0.4328318802430255,0.5244467194672892,0.4688073628074889,0.44665077099758266,0.4389327979058697,0.39507175609444095,0.40223501911842957,0.41132068130028826,0.4088393660795801,0.407545034337579,0.4173443839161905,0.43010905584639164,0.46737385431839434,0.46378437461106947,0.443265750451382,0.42711195506394883,0.40908135278905405,0.394278537443901,0.405536721022943,0.39377164623083943,0.42193753812526663,0.4231766357991069,0.4061043862945543,0.39203041653365767,0.39324874735658977,0.3934937770963712,0.39618129354488624,0.47435908174071056,0.4547401536781848,0.4446442355099212,0.44548233467429815,0.4314501131193417,0.43122251393052374,0.4309380253065198,0.43063026335658905,0.46198320741090065,0.4700912735361798,0.478199339661459,0.4863074057867383,0.49441547191201746
Armenia,ARM,Upper middle income,Europe & Central Asia,0.6330654186360379,0.6312193773758653,0.6125537358202218,0.617576258040973,0.6013646169211576,0.578035168793808,0.5704057036302014,0.6004682597409937,0.6053061525581243,0.6173487348229085,0.6280177271918963,0.63984278243491,0.6531556714461412,0.6648828516501633,0.6765907248405534,0.6909948593145859,0.6998837470806686,0.6808564845316619,0.6512809202201563,0.6253979440648144,0.6634206507873511,0.6838755828206643,0.679621579872422,0.6613860474752334,0.6596122808060639,0.6509800813186964,0.6656197495155377,0.6662846833307031,0.6577402359123982,0.6513188990518081,0.6513188990518081,0.6513188990518081,0.6513188990518081,0.6513188990518081,0.6513188990518081,0.653942483664323,0.6551379420504951,0.6563334004366673,0.6575288588228397,0.6587243172090119
Australia,AUS,High income,East Asia & Pacific,0.5556534700301401,0.5599855497620803,0.5616776931974987,0.5628562515309045,0.5665680298712138,0.565951789297685,0.5657878311930943,0.5651905329011272,0.5633909458177072,0.5736748677378753,0.5808602590852389,0.5735907481646876,0.5721555336651107,0.5824565773135727,0.5803101181961795,0.5882022955490177,0.5859794906638488,0.5889417842161893,0.599173340457528,0.5977694372464355,0.5880938943055397,0.5951080405150452,0.5830814480226344,0.588156446766034,0.5991202269035646,0.5870773784872735,0.5891392808235324,0.5989682124891765,0.5975128452292565,0.5957164337000753,0.6060605969588092,0.607848799880962,0.6096370028031145,0.6114252057252673,0.6132134086474198,0.601579981633591,0.6037627960716917,0.6059456105097925,0.6081284249478931,0.6103112393859939
Austria,AUT,High income,Europe & Central Asia,0.6634877367648974,0.6763101446473208,0.678944852385686,0.703138335675826,0.712621851206012,0.7284080515768236,0.7140977926863528,0.7199025014059584,0.7238907919180052,0.7033962249566169,0.7153900155122951,0.7264654296841373,0.7285735032881528,0.7009365473974328,0.7156084300372586,0.7265110110378922,0.7258930457350927,0.7201910236317723,0.7216271424765083,0.7163707859196361,0.7218059444038478,0.715240247115772,0.7189069368371296,0.739567283637166,0.7368038501127677,0.7280767249721211,0.7350525070234039,0.7106074880713731,0.7071429094333973,0.7039773847464459,0.7090077157265551,0.7115883756724445,0.7142493571845088,0.7169676072770591,0.719726689371114,0.70844159185042,0.7080105536664836,0.7075795154825472,0.7071484772986109,0.7067174391146743
Azerbaijan,AZE,Upper middle income,Europe & Central Asia,0.6839011470627829,0.6879994112943412,0.6948693012608279,0.7054839728230755,0.7120371022554034,0.7096955975607965,0.705179571177143,0.7024420742542453,0.7023500814734011,0.7125408498563494,0.7124175624066041,0.7190649218957321,0.7375389934816373,0.7494366998327991,0.7625530594750963,0.7438388836024415,0.7705049640197797,0.7784318496587201,0.7766818132097782,0.7878781279698924,0.8039362433026725,0.8106048990873692,0.8112621944062924,0.8117714990558964,0.8128375654807481,0.8090934660618143,0.8094908285842705,0.8155337373725712,0.8189369913278041,0.8222601479466864,0.8222601479466864,0.8222601479466864,0.8222601479466864,0.8222601479466864,0.8222601479466864,0.8289428911858031,0.835741520667602,0.8425401501494006,0.8493387796311994,0.8561374091129984
Burundi,BDI,Low income,Sub-Saharan Africa,0.5366595558878844,0.5372413301445035,0.5367704978473175,0.5364831940900309,0.5371590119163192,0.5380033951557062,0.5379683265728469,0.5376565945439485,0.5381476415411449,0.5382898465481011,0.5399509555900185,0.5428324276589563,0.5470773833540207,0.5514921012397836,0.5493744886769081,0.5513420537963635,0.5504683739856102,0.5539467072820728,0.5549372485249738,0.5573178877010699,0.558402690255676,0.5594135486582229,0.5627460798193757,0.5630683108445201,0.561588128325168,0.5606174283549813,0.5609168707022684,0.5616378371850429,0.5621455620242584,0.5628627332914061,0.5637661368090996,0.5646695403267931,0.5655729438444866,0.56647634736218,0.5673797508798735,0.5633399638660221,0.5638145653254255,0.5642891667848288,0.564763768244232,0.5652383697036353
